Description	
Number of Runs	150
Preset Time	2
Preset Counts	0
Pause Time	0
Alarm Level	0
High Voltage	750

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time	Notes

1	750	3	2.00	22.05.2012 16:01:50	
2	750	0	2.00	22.05.2012 16:01:53	
3	750	2	2.00	22.05.2012 16:01:56	
4	750	0	2.00	22.05.2012 16:01:59	
5	750	1	2.00	22.05.2012 16:02:02	
6	750	0	2.00	22.05.2012 16:02:05	
7	750	0	2.00	22.05.2012 16:02:08	
8	750	0	2.00	22.05.2012 16:02:11	
9	750	1	2.00	22.05.2012 16:02:14	
10	750	1	2.00	22.05.2012 16:02:17	
11	750	2	2.00	22.05.2012 16:02:20	
12	750	2	2.00	22.05.2012 16:02:23	
13	750	1	2.00	22.05.2012 16:02:26	
14	750	1	2.00	22.05.2012 16:02:29	
15	750	0	2.00	22.05.2012 16:02:32	
16	750	3	2.00	22.05.2012 16:02:35	
17	750	2	2.00	22.05.2012 16:02:38	
18	750	2	2.00	22.05.2012 16:02:41	
19	750	1	2.00	22.05.2012 16:02:44	
20	750	0	2.00	22.05.2012 16:02:47	
21	750	3	2.00	22.05.2012 16:02:50	
22	750	3	2.00	22.05.2012 16:02:53	
23	750	2	2.00	22.05.2012 16:02:56	
24	750	2	2.00	22.05.2012 16:02:59	
25	750	1	2.00	22.05.2012 16:03:02	
26	750	1	2.00	22.05.2012 16:03:05	
27	750	0	2.00	22.05.2012 16:03:08	
28	750	2	2.00	22.05.2012 16:03:11	
29	750	3	2.00	22.05.2012 16:03:14	
30	750	1	2.00	22.05.2012 16:03:17	
31	750	1	2.00	22.05.2012 16:03:20	
32	750	3	2.00	22.05.2012 16:03:23	
33	750	2	2.00	22.05.2012 16:03:26	
34	750	0	2.00	22.05.2012 16:03:29	
35	750	4	2.00	22.05.2012 16:03:32	
36	750	2	2.00	22.05.2012 16:03:35	
37	750	2	2.00	22.05.2012 16:03:38	
38	750	4	2.00	22.05.2012 16:03:41	
39	750	3	2.00	22.05.2012 16:03:44	
40	750	1	2.00	22.05.2012 16:03:47	
41	750	3	2.00	22.05.2012 16:03:50	
42	750	3	2.00	22.05.2012 16:03:53	
43	750	1	2.00	22.05.2012 16:03:56	
44	750	2	2.00	22.05.2012 16:04:00	
45	750	1	2.00	22.05.2012 16:04:02	
46	750	1	2.00	22.05.2012 16:04:06	
47	750	3	2.00	22.05.2012 16:04:08	
48	750	2	2.00	22.05.2012 16:04:12	
49	750	0	2.00	22.05.2012 16:04:15	
50	750	1	2.00	22.05.2012 16:04:18	
51	750	0	2.00	22.05.2012 16:04:21	
