Description	
Number of Runs	300
Preset Time	10
Preset Counts	0
Pause Time	0
Alarm Level	0
High Voltage	750

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time	Notes

1	750	313	10.00	22.05.2012 16:21:20	
2	750	315	10.00	22.05.2012 16:21:40	
3	750	316	10.00	22.05.2012 16:21:51	
4	750	315	10.00	22.05.2012 16:22:02	
5	750	319	10.00	22.05.2012 16:22:13	
6	750	305	10.00	22.05.2012 16:22:23	
7	750	300	10.00	22.05.2012 16:22:34	
8	750	331	10.00	22.05.2012 16:22:45	
9	750	315	10.00	22.05.2012 16:22:56	
10	750	341	10.00	22.05.2012 16:23:07	
11	750	323	10.00	22.05.2012 16:23:18	
12	750	311	10.00	22.05.2012 16:23:29	
13	750	343	10.00	22.05.2012 16:23:40	
14	750	301	10.00	22.05.2012 16:23:51	
15	750	315	10.00	22.05.2012 16:24:02	
16	750	318	10.00	22.05.2012 16:24:13	
17	750	339	10.00	22.05.2012 16:24:24	
18	750	301	10.00	22.05.2012 16:24:35	
19	750	345	10.00	22.05.2012 16:24:46	
20	750	273	10.00	22.05.2012 16:24:57	
21	750	316	10.00	22.05.2012 16:25:08	
22	750	310	10.00	22.05.2012 16:25:19	
23	750	324	10.00	22.05.2012 16:25:30	
24	750	324	10.00	22.05.2012 16:25:41	
25	750	308	10.00	22.05.2012 16:25:52	
26	750	331	10.00	22.05.2012 16:26:03	
27	750	329	10.00	22.05.2012 16:26:14	
28	750	356	10.00	22.05.2012 16:26:25	
29	750	305	10.00	22.05.2012 16:26:36	
30	750	324	10.00	22.05.2012 16:26:47	
31	750	316	10.00	22.05.2012 16:26:58	
32	750	302	10.00	22.05.2012 16:27:09	
33	750	314	10.00	22.05.2012 16:27:20	
34	750	341	10.00	22.05.2012 16:27:31	
35	750	324	10.00	22.05.2012 16:27:42	
36	750	322	10.00	22.05.2012 16:27:53	
37	750	362	10.00	22.05.2012 16:28:04	
38	750	308	10.00	22.05.2012 16:28:15	
39	750	343	10.00	22.05.2012 16:28:25	
40	750	323	10.00	22.05.2012 16:28:36	
41	750	304	10.00	22.05.2012 16:28:47	
42	750	328	10.00	22.05.2012 16:28:58	
43	750	314	10.00	22.05.2012 16:29:09	
44	750	319	10.00	22.05.2012 16:29:20	
45	750	345	10.00	22.05.2012 16:29:31	
46	750	308	10.00	22.05.2012 16:29:42	
47	750	346	10.00	22.05.2012 16:29:53	
48	750	361	10.00	22.05.2012 16:30:04	
49	750	332	10.00	22.05.2012 16:30:15	
50	750	304	10.00	22.05.2012 16:30:26	
51	750	329	10.00	22.05.2012 16:30:37	
52	750	328	10.00	22.05.2012 16:30:48	
53	750	308	10.00	22.05.2012 16:30:59	
54	750	318	10.00	22.05.2012 16:31:10	
55	750	311	10.00	22.05.2012 16:31:21	
56	750	353	10.00	22.05.2012 16:31:32	
57	750	331	10.00	22.05.2012 16:31:43	
58	750	361	10.00	22.05.2012 16:31:53	
59	750	326	10.00	22.05.2012 16:32:04	
60	750	333	10.00	22.05.2012 16:32:15	
61	750	312	10.00	22.05.2012 16:32:26	
62	750	319	10.00	22.05.2012 16:32:37	
63	750	304	10.00	22.05.2012 16:32:48	
64	750	327	10.00	22.05.2012 16:32:59	
65	750	326	10.00	22.05.2012 16:33:10	
66	750	338	10.00	22.05.2012 16:33:21	
67	750	320	10.00	22.05.2012 16:33:32	
68	750	309	10.00	22.05.2012 16:33:43	
69	750	296	10.00	22.05.2012 16:33:54	
70	750	338	10.00	22.05.2012 16:34:05	
71	750	303	10.00	22.05.2012 16:34:16	
72	750	321	10.00	22.05.2012 16:34:27	
73	750	284	10.00	22.05.2012 16:34:38	
74	750	318	10.00	22.05.2012 16:34:49	
75	750	306	10.00	22.05.2012 16:35:00	
76	750	308	10.00	22.05.2012 16:35:11	
77	750	331	10.00	22.05.2012 16:35:22	
78	750	339	10.00	22.05.2012 16:35:33	
79	750	339	10.00	22.05.2012 16:35:44	
80	750	340	10.00	22.05.2012 16:35:55	
81	750	315	10.00	22.05.2012 16:36:06	
82	750	324	10.00	22.05.2012 16:36:17	
